metric_group,metric_name,asset,pair,stage,trade_action,asset_market_state,value,sample_size,window,notes
run_overview,analysis_window_start_utc,,,,,,2026-04-21 05:00:02 UTC,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
run_overview,analysis_window_start_beijing,,,,,,2026-04-21 13:00:02 UTC+08:00,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
run_overview,analysis_window_end_utc,,,,,,2026-04-21 05:56:14 UTC,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
run_overview,analysis_window_end_beijing,,,,,,2026-04-21 13:56:14 UTC+08:00,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
run_overview,duration_hours,,,,,,0.94,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
run_overview,total_raw_events,,,,,,1968,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
run_overview,total_parsed_events,,,,,,1968,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
run_overview,total_signal_rows,,,,,,5,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
run_overview,lp_signal_rows,,,,,,3,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
run_overview,delivered_lp_signals,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
run_overview,suppressed_lp_signals,,,,,,3,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
run_overview,asset_case_count,,,,,,2,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
run_overview,case_followup_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
lp_stage,stage_distribution_pct,,,prealert,,,0.0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
lp_stage,stage_distribution_pct,,,confirm,,,66.67,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
lp_stage,stage_distribution_pct,,,climax,,,33.33,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
lp_stage,stage_distribution_pct,,,exhaustion_risk,,,0.0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
lp_stage,prealert_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
lp_stage,confirm_count,,,,,,2,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
lp_stage,climax_count,,,,,,1,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
lp_stage,exhaustion_risk_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
asset_market_state,state_distribution,,,,,DO_NOT_CHASE_LONG,1,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
asset_market_state,state_distribution,,,,,OBSERVE_LONG,2,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
asset_market_state,final_state_by_asset,ETH,,,,OBSERVE_LONG,OBSERVE_LONG,1,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
no_trade_lock,lock_entered_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
no_trade_lock,lock_suppressed_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
no_trade_lock,lock_released_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
no_trade_lock,avg_lock_duration_sec,,,,,,,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
no_trade_lock,median_lock_duration_sec,,,,,,,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
no_trade_lock,lock_prevented_message_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
telegram,telegram_should_send_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
telegram,telegram_suppressed_count,,,,,,3,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
telegram,telegram_suppression_ratio,,,,,,1.0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
telegram,messages_before_suppression_estimate,,,,,,3,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
telegram,messages_after_suppression_actual,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
telegram,high_value_suppressed_count,,,,,,2,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
telegram,low_value_suppressed_count,,,,,,1,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
telegram,should_send_but_not_sent_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
telegram,previous_report_raw_lp_signals,,,,,,136,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
telegram,previous_report_sent_telegram_messages,,,,,,7,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
telegram,previous_report_duration_hours,,,,,,14.87,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
telegram,current_sent_messages_per_hour,,,,,,0.0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
telegram,previous_sent_messages_per_hour,,,,,,0.47,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
telegram,telegram_suppression_reasons,,,,,,3,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,no_trade_opportunity
prealert,prealert_candidate_count,,,,,,2,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
prealert,prealert_gate_passed_count,,,,,,2,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
prealert,prealert_active_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
prealert,prealert_delivered_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
prealert,prealert_merged_count,,,,,,1,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
prealert,prealert_upgraded_to_confirm_count,,,,,,2,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
prealert,prealert_expired_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
prealert,prealert_suppressed_by_lock_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
prealert,median_prealert_to_confirm_sec,,,,,,0.0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
prealert,first_seen_stage_prealert_count,,,,,,2,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
prealert,prealert_visible_to_user_count,,,,,,2,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
prealert,prealert_stage_overwritten_count,,,,,,2,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
prealert,prealert_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
candidate_tradeable,long_candidate_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
candidate_tradeable,short_candidate_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
candidate_tradeable,tradeable_long_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
candidate_tradeable,tradeable_short_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
candidate_tradeable,candidate_to_tradeable_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
candidate_tradeable,candidate_outcome_completed_rate,,,,,,,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
candidate_tradeable,candidate_adverse_60s_rate,,,,,,,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
candidate_tradeable,candidate_followthrough_60s_rate,,,,,,,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
candidate_tradeable,legacy_chase_action_rows,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
candidate_tradeable,legacy_chase_action_delivered_rows,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_opportunity,opportunity_candidate_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_opportunity,opportunity_verified_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_opportunity,opportunity_blocked_count,,,,,,15,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_opportunity,opportunity_none_count,,,,,,121,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_opportunity,opportunity_candidate_to_verified_rate,,,,,,,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_opportunity,opportunity_score_median,,,,,,0.5136,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_opportunity,opportunity_score_p90,,,,,,0.6476,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_opportunity,opportunity_candidate_followthrough_60s_rate,,,,,,,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_opportunity,opportunity_candidate_adverse_60s_rate,,,,,,,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_opportunity,opportunity_verified_followthrough_60s_rate,,,,,,,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_opportunity,opportunity_verified_adverse_60s_rate,,,,,,,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_opportunity,opportunity_blocker_avoided_adverse_rate,,,,,,0.0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_opportunity,opportunity_budget_suppressed_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_opportunity,opportunity_cooldown_suppressed_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_opportunity,opportunity_history_sample_sufficiency_rate,,,,,,0.9338,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_opportunity,samples_until_verified_open,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
outcome,30s_status,,,,,,1,3,30s,expired
outcome,30s_status,,,,,,2,3,30s,pending
outcome,60s_status,,,,,,1,3,60s,expired
outcome,60s_status,,,,,,2,3,60s,pending
outcome,300s_status,,,,,,1,3,300s,expired
outcome,300s_status,,,,,,2,3,300s,pending
outcome,outcome_price_source_distribution,,,okx_mark,,,9,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
outcome,outcome_failure_reason_distribution,,,window_elapsed_without_price_update,,,3,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
outcome,outcome_30s_pending_count,,,,,,2,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
outcome,outcome_30s_completed_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
outcome,outcome_30s_unavailable_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
outcome,outcome_30s_expired_count,,,,,,1,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
outcome,outcome_30s_completed_rate,,,,,,0.0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
outcome,outcome_60s_completed_rate,,,,,,0.0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
outcome,outcome_300s_completed_rate,,,,,,0.0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
outcome,catchup_completed_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
outcome,catchup_expired_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
market_context,live_public_count,,,,,,3,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
market_context,unavailable_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
market_context,live_public_rate,,,,,,1.0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
market_context,unavailable_rate,,,,,,0.0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
market_context,okx_attempts,,,,,,18,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
market_context,okx_success,,,,,,18,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
market_context,okx_failure,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
market_context,kraken_attempts,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
market_context,kraken_success,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
market_context,kraken_failure,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
market_context,binance_attempts,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
market_context,bybit_attempts,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,trade_action_distribution,,,,DO_NOT_CHASE_LONG,,1,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,trade_action_distribution,,,,LONG_BIAS_OBSERVE,,2,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,long_chase_allowed_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,short_chase_allowed_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,no_trade_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,wait_confirmation_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,do_not_chase_long_count,,,,,,1,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,do_not_chase_short_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,conflict_no_trade_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,data_gap_no_trade_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,chase_allowed_success_rate,,,,,,0.0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,chase_allowed_adverse_rate,,,,,,,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,generic_confirm_success_rate_300s,,,,,,,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,generic_confirm_adverse_rate_300s,,,,,,,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,no_trade_would_have_saved_rate,,,,,,,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,conflict_after_message_reversal_rate,,,,,,,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,chase_allowed_rows_resolved_300s,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,do_not_chase_would_have_avoided_bad_chase_rate,,,,,,,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,no_trade_high_noise_rate_300s,,,,,,,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,long_bias_observe_count,,,,,,2,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,short_bias_observe_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,long_candidate_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,short_candidate_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,tradeable_count,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,legacy_chase_action_rows,,,,,,0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
adverse_direction,buy_pressure_adverse_30s_rate,,,,,,,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
adverse_direction,buy_pressure_adverse_60s_rate,,,,,,,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
adverse_direction,buy_pressure_adverse_300s_rate,,,,,,,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
adverse_direction,sell_pressure_adverse_30s_rate,,,,,,,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
adverse_direction,sell_pressure_adverse_60s_rate,,,,,,,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
adverse_direction,sell_pressure_adverse_300s_rate,,,,,,,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
archive,signals_archive_exists,,,,,,True,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
archive,signal_delivery_audit_match_rate,,,,,,1.0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
archive,signal_case_followup_match_rate,,,,,,,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
archive,signal_case_attached_match_rate,,,,,,,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
archive,delivered_signal_notifier_sent_at_rate,,,,,,,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
archive,signal_id_complete_rate,,,,,,1.0,3,2026-04-21 05:00:02 UTC -> 2026-04-21 05:56:14 UTC,
