metric_group,metric_name,asset,pair,stage,value,sample_size,window,notes
runtime,window_duration_sec,,,,15258,,analysis_window,
runtime,total_signals,,,,38,38,analysis_window,
runtime,total_asset_cases,,,,22,22,analysis_window,
runtime,total_lp_messages,,,,24,24,analysis_window,
runtime,major_signal_share_pct,,,,100.0,38,analysis_window,majors heuristic set
runtime,long_tail_signal_share_pct,,,,0.0,38,analysis_window,majors heuristic set
stage,stage_count,,,prealert,1,1,analysis_window,
stage,median_move_before_alert_30s,,,prealert,0.0,1,analysis_window,
stage,median_move_before_alert_60s,,,prealert,0.0,1,analysis_window,
stage,median_move_after_alert_60s,,,prealert,,1,analysis_window,
stage,median_move_after_alert_300s,,,prealert,,1,analysis_window,
stage,median_detect_latency_ms,,,prealert,2000.0,1,analysis_window,
stage,market_context_available_rate_pct,,,prealert,0.0,1,analysis_window,
stage,stage_count,,,confirm,23,23,analysis_window,
stage,median_move_before_alert_30s,,,confirm,-0.000222,23,analysis_window,
stage,median_move_before_alert_60s,,,confirm,-0.000222,23,analysis_window,
stage,median_move_after_alert_60s,,,confirm,0.000852,23,analysis_window,
stage,median_move_after_alert_300s,,,confirm,-0.001394,23,analysis_window,
stage,median_detect_latency_ms,,,confirm,2000.0,23,analysis_window,
stage,market_context_available_rate_pct,,,confirm,0.0,23,analysis_window,
stage,stage_count,,,climax,7,7,analysis_window,
stage,median_move_before_alert_30s,,,climax,0.000713,7,analysis_window,
stage,median_move_before_alert_60s,,,climax,0.000713,7,analysis_window,
stage,median_move_after_alert_60s,,,climax,0.004335,7,analysis_window,
stage,median_move_after_alert_300s,,,climax,-0.001997,7,analysis_window,
stage,median_detect_latency_ms,,,climax,3500.0,7,analysis_window,
stage,market_context_available_rate_pct,,,climax,0.0,7,analysis_window,
stage,climax_reversal_rate_60s_pct,,,climax,75.0,4,60s,30s field unavailable in persisted outcomes
stage,stage_count,,,exhaustion_risk,7,7,analysis_window,
stage,median_move_before_alert_30s,,,exhaustion_risk,0.00637,7,analysis_window,
stage,median_move_before_alert_60s,,,exhaustion_risk,0.006493,7,analysis_window,
stage,median_move_after_alert_60s,,,exhaustion_risk,0.001405,7,analysis_window,
stage,median_move_after_alert_300s,,,exhaustion_risk,0.002344,7,analysis_window,
stage,median_detect_latency_ms,,,exhaustion_risk,2000.0,7,analysis_window,
stage,market_context_available_rate_pct,,,exhaustion_risk,0.0,7,analysis_window,
stage,exhaustion_negative_followthrough_rate_pct,,,exhaustion_risk,25.0,4,60s/300s,
stage,prealert_to_confirm_30s_pct,,,prealert,0.0,1,30s,优先按 asset_case_key 回查，缺失时退化到 pair+direction 匹配；本轮原生 time_to_confirm 字段未回写。
stage,prealert_to_confirm_60s_pct,,,prealert,0.0,1,60s,优先按 asset_case_key 回查，缺失时退化到 pair+direction 匹配；本轮原生 time_to_confirm 字段未回写。
stage,prealert_to_confirm_90s_pct,,,prealert,0.0,1,90s,优先按 asset_case_key 回查，缺失时退化到 pair+direction 匹配；本轮原生 time_to_confirm 字段未回写。
asset_case,total_asset_cases,,,,22,22,analysis_window,
asset_case,message_reduction_vs_signal_count_pct,,,,42.1,38,analysis_window,
asset_case,message_reduction_vs_pool_case_pct,,,,,15,analysis_window,
timing,market_context_available_rate_pct,,,,0.0,38,analysis_window,
quality,pair_quality_score,ETH,ETH/USDC,,0.5548,20,rolling,
quality,confirm_conversion_score,ETH,ETH/USDC,,0.4467,20,rolling,
quality,climax_reversal_score,ETH,ETH/USDC,,0.47,20,rolling,
quality,fastlane_roi_score,ETH,ETH/USDC,,0.55,20,rolling,
quality,pair_quality_score,ETH,ETH/USDT,,0.5537,18,rolling,
quality,confirm_conversion_score,ETH,ETH/USDT,,0.5257,18,rolling,
quality,climax_reversal_score,ETH,ETH/USDT,,0.67,18,rolling,
quality,fastlane_roi_score,ETH,ETH/USDT,,0.55,18,rolling,
fastlane,fastlane_signal_count,,,,1,1,analysis_window,
fastlane,promoted_main_signal_count,,,,1,1,analysis_window,
fastlane,promoted_main_median_latency_ms,,,,17000.0,1,analysis_window,
fastlane,fastlane_median_aligned_move_60s,,,,,1,60s,
fastlane,fastlane_median_aligned_move_300s,,,,,1,300s,
scorecard,lp_research_sampling_readiness,,,,5.3,38,analysis_window,
scorecard,lp_product_signal_usability,,,,4.3,38,analysis_window,
scorecard,lp_noise_control,,,,6.0,38,analysis_window,
scorecard,market_timing_value,,,,3.7,38,analysis_window,
scorecard,asset_case_aggregation_value,,,,6.5,38,analysis_window,
scorecard,fastlane_roi,,,,4.3,38,analysis_window,
scorecard,overall,,,,5.0,38,analysis_window,
