metric_group,metric_name,today_value,previous_value,abs_change,pct_change,interpretation,data_source,notes
run_data_integrity,raw_events_count,534,,,,previous 字段缺失，无法判断,"{""previous"": {""path"": null, ""report_type"": null}, ""today"": {""path"": ""run_overview.total_raw_events"", ""report_type"": ""afternoon_evening_state""}}",
run_data_integrity,parsed_events_count,534,,,,previous 字段缺失，无法判断,"{""previous"": {""path"": null, ""report_type"": null}, ""today"": {""path"": ""run_overview.total_parsed_events"", ""report_type"": ""afternoon_evening_state""}}",
run_data_integrity,signals_count,6,,,,previous 字段缺失，无法判断,"{""previous"": {""path"": null, ""report_type"": null}, ""today"": {""path"": ""run_overview.total_signal_rows"", ""report_type"": ""afternoon_evening_state""}}",
run_data_integrity,lp_signal_rows,4,,,,previous 字段缺失，无法判断,"{""previous"": {""path"": null, ""report_type"": null}, ""today"": {""path"": ""run_overview.lp_signal_rows"", ""report_type"": ""afternoon_evening_state""}}",
run_data_integrity,delivered_lp_signals,0,,,,previous 字段缺失，无法判断,"{""previous"": {""path"": null, ""report_type"": null}, ""today"": {""path"": ""run_overview.delivered_lp_signals"", ""report_type"": ""afternoon_evening_state""}}",
run_data_integrity,suppressed_lp_signals,4,,,,previous 字段缺失，无法判断,"{""previous"": {""path"": null, ""report_type"": null}, ""today"": {""path"": ""run_overview.suppressed_lp_signals"", ""report_type"": ""afternoon_evening_state""}}",
run_data_integrity,asset_case_count,1,,,,previous 字段缺失，无法判断,"{""previous"": {""path"": null, ""report_type"": null}, ""today"": {""path"": ""run_overview.asset_case_count"", ""report_type"": ""afternoon_evening_state""}}",
run_data_integrity,case_followup_count,0,,,,previous 字段缺失，无法判断,"{""previous"": {""path"": null, ""report_type"": null}, ""today"": {""path"": ""run_overview.case_followup_count"", ""report_type"": ""afternoon_evening_state""}}",
run_data_integrity,data_source_summary,"{""archive_fallback_used"": false, ""data_source"": ""sqlite"", ""db_archive_mirror_match_rate"": 0.9998, ""mismatch_warnings"": [""db_archive_mismatch:delivery_audit:sqlite=156459:archive=156596"", ""db_archive_mirror_mismatch:parsed_events:sqlite=48752:archive=48751"", ""db_archive_mirror_mismatch:delivery_audit:sqlite=156459:archive=156596""], ""report_data_source"": ""sqlite"", ""source_components"": {""case_followups"": ""sqlite"", ""delivery_audit"": ""sqlite"", ""signals"": ""sqlite""}}","{""archive_fallback_used"": false, ""data_source"": ""sqlite"", ""db_archive_mirror_match_rate"": 0.9998, ""mismatch_warnings"": [""db_archive_mismatch:delivery_audit:sqlite=156459:archive=156596"", ""db_archive_mirror_mismatch:parsed_events:sqlite=48752:archive=48751"", ""db_archive_mirror_mismatch:delivery_audit:sqlite=156459:archive=156596""], ""report_data_source"": ""sqlite"", ""source_components"": {""case_followups"": ""sqlite"", ""delivery_audit"": ""sqlite"", ""signals"": ""sqlite""}}",,,结构化内容未变化,"{""previous"": {""path"": ""data_source_summary"", ""report_type"": ""overnight_run""}, ""today"": {""path"": ""data_source_summary"", ""report_type"": ""afternoon_evening_state""}}",source_report_changed:overnight_run->afternoon_evening_state
run_data_integrity,db_archive_mirror_match_rate,0.9998,0.9998,0.0,0.0,与 previous 持平,"{""previous"": {""path"": ""data_source_summary.db_archive_mirror_match_rate"", ""report_type"": ""overnight_run""}, ""today"": {""path"": ""data_source_summary.db_archive_mirror_match_rate"", ""report_type"": ""afternoon_evening_state""}}",source_report_changed:overnight_run->afternoon_evening_state
