[2026-06-14T14:02:46.396841Z] backfill: cur=25316192 window blocks [22578192,25206192] pools=4 chunk=10000
[2026-06-14T14:02:46.408731Z] threaded backfill: 1052 tasks remaining of 1052 (8 workers)
[2026-06-14T14:03:08.561355Z]   done=20/1052 burns_new=35
[2026-06-14T14:03:24.393445Z]   done=40/1052 burns_new=63
[2026-06-14T14:03:34.329084Z]   done=60/1052 burns_new=101
[2026-06-14T14:03:52.400329Z]   done=80/1052 burns_new=145
[2026-06-14T14:04:01.631496Z]   done=100/1052 burns_new=186
[2026-06-14T14:04:08.815743Z]   done=120/1052 burns_new=222
[2026-06-14T14:04:20.905774Z]   done=140/1052 burns_new=503
[2026-06-14T14:04:32.760363Z]   done=160/1052 burns_new=10121
[2026-06-14T14:04:46.438221Z]   chunk 23288192-23298191 full-range failed (rpc failed after 14: eth_getLogs last=HTTP 408); splitting into 2k
[2026-06-14T14:04:51.720861Z]   done=180/1052 burns_new=10268
[2026-06-14T14:05:01.083051Z]   done=200/1052 burns_new=10410
[2026-06-14T14:05:12.937504Z]   done=220/1052 burns_new=10494
[2026-06-14T14:05:28.740846Z]   done=240/1052 burns_new=10549
[2026-06-14T14:05:47.465978Z]   done=260/1052 burns_new=10588
[2026-06-14T14:08:18.805599Z] backfill: cur=25316220 window blocks [22578220,25206220] pools=4 chunk=10000
[2026-06-14T14:08:18.805777Z] resume: 260 chunks already done
[2026-06-14T14:08:18.810875Z] threaded backfill: 1052 tasks remaining of 1052 (8 workers)
[2026-06-14T14:08:36.873279Z]   done=280/1052 burns_new=35
[2026-06-14T14:09:05.587763Z]   done=300/1052 burns_new=64
[2026-06-14T14:09:37.568688Z]   done=320/1052 burns_new=105
[2026-06-14T14:10:14.396306Z]   done=340/1052 burns_new=149
[2026-06-14T14:10:41.878968Z]   done=360/1052 burns_new=185
[2026-06-14T14:10:56.232153Z]   chunk 23288220-23298219 full-range failed (rpc failed after 14: eth_getLogs last=HTTP 408); splitting into 2k
[2026-06-14T14:11:00.783048Z]   done=380/1052 burns_new=218
