metric_group,metric_name,asset,pair,stage,value,sample_size,window,notes
window,selected_duration_sec,,,,32687,1,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
capture,full_overnight_lp_signal_count,,,,96,96,full_overnight,
capture,full_overnight_lp_message_count,,,,32,96,full_overnight,
capture,window_lp_signal_count,,,,96,96,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
capture,window_lp_message_count,,,,32,96,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
capture,window_asset_case_count,,,,32,96,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,count,,,prealert,0,0,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,median_move_before_alert_30s,,,prealert,,0,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,median_move_before_alert_60s,,,prealert,,0,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,median_move_after_alert_60s,,,prealert,,0,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,median_move_after_alert_300s,,,prealert,,0,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,adverse_followthrough_60s_pct,,,prealert,,0,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,adverse_followthrough_300s_pct,,,prealert,,0,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,median_detect_latency_ms,,,prealert,,0,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,median_end_to_end_latency_ms,,,prealert,,0,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,count,,,confirm,54,54,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,median_move_before_alert_30s,,,confirm,-0.000444,54,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,median_move_before_alert_60s,,,confirm,-0.000461,54,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,median_move_after_alert_60s,,,confirm,-0.000529,21,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,median_move_after_alert_300s,,,confirm,-0.001608,35,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,adverse_followthrough_60s_pct,,,confirm,0.0,21,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,adverse_followthrough_300s_pct,,,confirm,2.9,35,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,median_detect_latency_ms,,,confirm,2000.0,54,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,median_end_to_end_latency_ms,,,confirm,3500.0,54,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,count,,,climax,31,31,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,median_move_before_alert_30s,,,climax,-0.000859,31,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,median_move_before_alert_60s,,,climax,-0.00076,31,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,median_move_after_alert_60s,,,climax,-0.001068,15,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,median_move_after_alert_300s,,,climax,-0.002154,23,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,adverse_followthrough_60s_pct,,,climax,0.0,15,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,adverse_followthrough_300s_pct,,,climax,0.0,23,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,median_detect_latency_ms,,,climax,2000.0,31,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,median_end_to_end_latency_ms,,,climax,4000.0,31,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,count,,,exhaustion_risk,11,11,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,median_move_before_alert_30s,,,exhaustion_risk,0.000622,11,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,median_move_before_alert_60s,,,exhaustion_risk,0.000673,11,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,median_move_after_alert_60s,,,exhaustion_risk,0.000742,1,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,median_move_after_alert_300s,,,exhaustion_risk,0.000742,3,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,adverse_followthrough_60s_pct,,,exhaustion_risk,0.0,1,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,adverse_followthrough_300s_pct,,,exhaustion_risk,0.0,3,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,median_detect_latency_ms,,,exhaustion_risk,1000.0,11,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
stage,median_end_to_end_latency_ms,,,exhaustion_risk,4000.0,11,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
patch,sweep_building_count_full_overnight,,,,24,96,full_overnight,
patch,sweep_building_residual_climax_count,,,,0,24,full_overnight,
patch_confirm,chase_risk,,,,1,54,full_overnight,
patch_confirm,late_confirm,,,,13,54,full_overnight,
patch_confirm,sweep_building_confirm,,,,24,54,full_overnight,
patch_confirm,unconfirmed_confirm,,,,16,54,full_overnight,
patch_absorption,local_sell_pressure_absorption,,,,36,96,full_overnight,
patch_absorption,local_buy_pressure_absorption,,,,18,96,full_overnight,
patch_absorption,broader_sell_pressure_confirmed,,,,0,96,full_overnight,
patch_absorption,broader_buy_pressure_confirmed,,,,0,96,full_overnight,
patch_absorption,pool_only_unconfirmed_pressure,,,,42,96,full_overnight,
reconciliation,signal_archive_unique_signal_ids,,,,96,96,full_overnight,
reconciliation,delivery_unique_signal_ids,,,,96,96,full_overnight,
reconciliation,delivered_unique_signal_ids,,,,32,32,full_overnight,
market_context,live_public_hit_rate_pct,,,,0.0,96,full_overnight,
market_context,unavailable_rate_pct,,,,100.0,96,full_overnight,
market_context_venue,signal_hit_rate,binance_perp,,,0.0,,full_overnight,
market_context_venue,attempt_failure_rate,binance_perp,,,1.0,384,full_overnight,
market_context_venue,signal_hit_rate,bybit_perp,,,0.0,,full_overnight,
market_context_venue,attempt_failure_rate,bybit_perp,,,1.0,384,full_overnight,
quality_pair,confirm_conversion_score,,ETH/USDC,,0.6945,48,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
quality_pair,climax_reversal_score,,ETH/USDC,,0.231,48,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
quality_pair,pair_quality_score,,ETH/USDC,,0.625,48,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
quality_pair,confirm_conversion_score,,ETH/USDT,,0.7695,48,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
quality_pair,climax_reversal_score,,ETH/USDT,,0.256,48,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
quality_pair,pair_quality_score,,ETH/USDT,,0.665,48,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
majors,present,,ETH/USDC,,1,1,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
majors,present,,ETH/USDT,,1,1,2026-04-17 16:22:29 UTC -> 2026-04-18 01:27:16 UTC,
scorecard,LP_研究采样_readiness,,,,4.4,1,analysis,
scorecard,LP_产品信号可用性,,,,4.8,1,analysis,
scorecard,live_market_context_readiness,,,,1.5,1,analysis,
scorecard,signal_archive_完整性,,,,8.8,1,analysis,
scorecard,majors_覆盖代表性,,,,2.8,1,analysis,
scorecard,噪音控制,,,,5.8,1,analysis,
scorecard,综合分,,,,4.7,1,analysis,
