metric_group,metric_name,asset,pair,stage,value,sample_size,window,notes
run_overview,analysis_window_start,,,,2026-04-18 18:33:40 UTC,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
run_overview,analysis_window_end,,,,2026-04-19 07:52:41 UTC,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
run_overview,duration_hours,,,,13.32,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
run_overview,total_signal_rows,,,,107,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
run_overview,lp_signal_rows,,,,68,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
run_overview,delivered_lp_signals,,,,55,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
run_overview,asset_case_count,,,,54,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
run_overview,case_followup_count,,,,55,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
run_overview,compression_ratio,,,,1.2593,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
run_overview,avg_signals_per_case,,,,1.2593,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
lp_stage,prealert_count,,,,0,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
lp_stage,confirm_count,,,,37,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
lp_stage,climax_count,,,,9,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
lp_stage,exhaustion_risk_count,,,,22,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
lp_stage,stage_distribution_pct,,,prealert,0.0,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
lp_stage,stage_distribution_pct,,,confirm,54.41,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
lp_stage,stage_distribution_pct,,,climax,13.24,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
lp_stage,stage_distribution_pct,,,exhaustion_risk,32.35,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
market_context,live_public_count,,,,68,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
market_context,unavailable_count,,,,0,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
market_context,live_public_rate,,,,1.0,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
market_context,unavailable_rate,,,,0.0,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
market_context,okx_attempts,,,,328,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
market_context,okx_success,,,,328,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
market_context,okx_failure,,,,0,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
market_context,kraken_attempts,,,,0,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
market_context,kraken_success,,,,0,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
market_context,kraken_failure,,,,0,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
market_context,binance_attempts,,,,0,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
market_context,bybit_attempts,,,,0,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
prealert,prealert_count,,,,0,0,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
prealert,major_prealert_count,,,,0,0,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
prealert,non_major_prealert_count,,,,0,0,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
prealert,prealert_candidates,,,,68,0,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
prealert,prealert_gate_passed_count,,,,0,0,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
prealert,prealert_delivered_count,,,,0,0,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
prealert,prealert_merged_into_case_count,,,,0,0,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
prealert,prealert_upgraded_to_confirm_count,,,,0,0,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
prealert,prealert_dropped_by_reason,,,,{},0,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
prealert,prealert_to_confirm_30s,,,,,0,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
prealert,prealert_to_confirm_60s,,,,,0,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
prealert,prealert_to_confirm_90s,,,,,0,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
prealert,previous_report_reference_prealert_count,,,,1,0,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
confirm,confirm_count,,,,37,37,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
confirm,clean_confirm_count,,,,2,37,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
confirm,local_confirm_count,,,,23,37,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
confirm,broader_confirm_count,,,,0,37,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
confirm,late_confirm_count,,,,3,37,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
confirm,chase_risk_count,,,,0,37,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
confirm,unconfirmed_confirm_count,,,,18,37,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
confirm,blank_confirm_quality_count,,,,14,37,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
confirm,broader_alignment_confirmed_count,,,,5,37,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
confirm,confirm_move_before_30s_median,,,,-0.000356,37,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
confirm,confirm_move_after_60s_median,,,,,37,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
confirm,confirm_move_after_300s_median,,,,-0.002083,37,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
confirm,predict_warning_text_count,,,,20,37,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
sweep,sweep_building_count,,,,14,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
sweep,sweep_confirmed_count,,,,9,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
sweep,sweep_exhaustion_risk_count,,,,22,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
sweep,sweep_building_display_climax_residual_count,,,,0,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
sweep,sweep_building_to_sweep_confirmed_rate,,,,0.0,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
sweep,sweep_building_to_continue_rate,,,,0.0,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
absorption,local_sell_pressure_absorption_count,,,,13,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
absorption,local_buy_pressure_absorption_count,,,,17,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
absorption,broader_sell_pressure_confirmed_count,,,,1,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
absorption,broader_buy_pressure_confirmed_count,,,,0,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
absorption,pool_only_unconfirmed_pressure_count,,,,37,68,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
majors,covered_major_pairs,,,,ETH/USDT|ETH/USDC,2,2026-04-18 18:33:40 UTC -> 2026-04-19 07:52:41 UTC,
