metric_group,metric_name,asset,pair,stage,value,sample_size,window,notes
run_overview,analysis_window_start,,,,2026-04-21 16:06:03 UTC,196,2026-04-21 16:06:03 UTC -> 2026-04-22 05:21:54 UTC,
run_overview,analysis_window_end,,,,2026-04-22 05:21:54 UTC,196,2026-04-21 16:06:03 UTC -> 2026-04-22 05:21:54 UTC,
run_overview,duration_hours,,,,13.26,196,2026-04-21 16:06:03 UTC -> 2026-04-22 05:21:54 UTC,
run_overview,total_signal_rows,,,,661,196,2026-04-21 16:06:03 UTC -> 2026-04-22 05:21:54 UTC,
run_overview,lp_signal_rows,,,,196,196,2026-04-21 16:06:03 UTC -> 2026-04-22 05:21:54 UTC,
run_overview,delivered_lp_signals,,,,19,196,2026-04-21 16:06:03 UTC -> 2026-04-22 05:21:54 UTC,
run_overview,asset_case_count,,,,39,196,2026-04-21 16:06:03 UTC -> 2026-04-22 05:21:54 UTC,
run_overview,case_followup_count,,,,19,196,2026-04-21 16:06:03 UTC -> 2026-04-22 05:21:54 UTC,
run_overview,compression_ratio,,,,5.0256,196,2026-04-21 16:06:03 UTC -> 2026-04-22 05:21:54 UTC,
run_overview,avg_signals_per_case,,,,5.0256,196,2026-04-21 16:06:03 UTC -> 2026-04-22 05:21:54 UTC,
lp_stage,prealert_count,,,,0,196,2026-04-21 16:06:03 UTC -> 2026-04-22 05:21:54 UTC,
lp_stage,confirm_count,,,,127,196,2026-04-21 16:06:03 UTC -> 2026-04-22 05:21:54 UTC,
lp_stage,climax_count,,,,47,196,2026-04-21 16:06:03 UTC -> 2026-04-22 05:21:54 UTC,
lp_stage,exhaustion_risk_count,,,,22,196,2026-04-21 16:06:03 UTC -> 2026-04-22 05:21:54 UTC,
lp_stage,stage_distribution_pct,,,prealert,0.0,196,2026-04-21 16:06:03 UTC -> 2026-04-22 05:21:54 UTC,
lp_stage,stage_distribution_pct,,,confirm,64.8,196,2026-04-21 16:06:03 UTC -> 2026-04-22 05:21:54 UTC,
lp_stage,stage_distribution_pct,,,climax,23.98,196,2026-04-21 16:06:03 UTC -> 2026-04-22 05:21:54 UTC,
lp_stage,stage_distribution_pct,,,exhaustion_risk,11.22,196,2026-04-21 16:06:03 UTC -> 2026-04-22 05:21:54 UTC,
market_context,live_public_count,,,,196,196,2026-04-21 16:06:03 UTC -> 2026-04-22 05:21:54 UTC,
market_context,unavailable_count,,,,0,196,2026-04-21 16:06:03 UTC -> 2026-04-22 05:21:54 UTC,
market_context,live_public_rate,,,,1.0,196,2026-04-21 16:06:03 UTC -> 2026-04-22 05:21:54 UTC,
market_context,unavailable_rate,,,,0.0,196,2026-04-21 16:06:03 UTC -> 2026-04-22 05:21:54 UTC,
market_context,okx_attempts,,,,1176,196,2026-04-21 16:06:03 UTC -> 2026-04-22 05:21:54 UTC,
