metric_group,metric_name,asset,pair,stage,trade_action,value,sample_size,window,notes
run_overview,analysis_window_start,,,,,2026-04-19 15:38:27 UTC,138,2026-04-19 15:38:27 UTC -> 2026-04-20 01:21:42 UTC,
run_overview,analysis_window_end,,,,,2026-04-20 01:21:42 UTC,138,2026-04-19 15:38:27 UTC -> 2026-04-20 01:21:42 UTC,
run_overview,duration_hours,,,,,9.72,138,2026-04-19 15:38:27 UTC -> 2026-04-20 01:21:42 UTC,
run_overview,total_raw_events,,,,,0,138,2026-04-19 15:38:27 UTC -> 2026-04-20 01:21:42 UTC,
run_overview,total_parsed_events,,,,,0,138,2026-04-19 15:38:27 UTC -> 2026-04-20 01:21:42 UTC,
run_overview,total_signal_rows,,,,,443,138,2026-04-19 15:38:27 UTC -> 2026-04-20 01:21:42 UTC,
run_overview,lp_signal_rows,,,,,138,138,2026-04-19 15:38:27 UTC -> 2026-04-20 01:21:42 UTC,
run_overview,delivered_lp_signals,,,,,58,138,2026-04-19 15:38:27 UTC -> 2026-04-20 01:21:42 UTC,
run_overview,asset_case_count,,,,,42,138,2026-04-19 15:38:27 UTC -> 2026-04-20 01:21:42 UTC,
run_overview,case_followup_count,,,,,66,138,2026-04-19 15:38:27 UTC -> 2026-04-20 01:21:42 UTC,
lp_stage,stage_distribution_pct,,,prealert,,0.0,138,2026-04-19 15:38:27 UTC -> 2026-04-20 01:21:42 UTC,
lp_stage,stage_distribution_pct,,,confirm,,66.67,138,2026-04-19 15:38:27 UTC -> 2026-04-20 01:21:42 UTC,
lp_stage,stage_distribution_pct,,,climax,,23.91,138,2026-04-19 15:38:27 UTC -> 2026-04-20 01:21:42 UTC,
lp_stage,stage_distribution_pct,,,exhaustion_risk,,9.42,138,2026-04-19 15:38:27 UTC -> 2026-04-20 01:21:42 UTC,
lp_stage,prealert_count,,,,,0,138,2026-04-19 15:38:27 UTC -> 2026-04-20 01:21:42 UTC,
lp_stage,confirm_count,,,,,92,138,2026-04-19 15:38:27 UTC -> 2026-04-20 01:21:42 UTC,
lp_stage,climax_count,,,,,33,138,2026-04-19 15:38:27 UTC -> 2026-04-20 01:21:42 UTC,
lp_stage,exhaustion_risk_count,,,,,13,138,2026-04-19 15:38:27 UTC -> 2026-04-20 01:21:42 UTC,
trade_action,trade_action_distribution,,,,CONFLICT_NO_TRADE,8,138,2026-04-19 15:38:27 UTC -> 2026-04-20 01:21:42 UTC,
trade_action,trade_action_distribution,,,,DO_NOT_CHASE_LONG,39,138,2026-04-19 15:38:27 UTC -> 2026-04-20 01:21:42 UTC,
