metric_group,metric_name,asset,pair,stage,trade_action,value,sample_size,window,notes
run_overview,analysis_window_start,,,,,2026-04-20 15:03:51 UTC,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
run_overview,analysis_window_end,,,,,2026-04-21 05:56:14 UTC,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
run_overview,duration_hours,,,,,14.87,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
run_overview,total_raw_events,,,,,47963,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
run_overview,total_parsed_events,,,,,25906,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
run_overview,total_signal_rows,,,,,526,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
run_overview,lp_signal_rows,,,,,136,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
run_overview,delivered_lp_signals,,,,,7,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
run_overview,asset_case_count,,,,,44,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
run_overview,case_followup_count,,,,,72,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
lp_stage,stage_distribution_pct,,,prealert,,0.74,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
lp_stage,stage_distribution_pct,,,confirm,,55.88,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
lp_stage,stage_distribution_pct,,,climax,,27.94,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
lp_stage,stage_distribution_pct,,,exhaustion_risk,,15.44,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
lp_stage,prealert_count,,,,,1,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
lp_stage,confirm_count,,,,,76,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
lp_stage,climax_count,,,,,38,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
lp_stage,exhaustion_risk_count,,,,,21,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,trade_action_distribution,,,,CONFLICT_NO_TRADE,8,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
trade_action,trade_action_distribution,,,,DO_NOT_CHASE_LONG,31,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
