table,row_count,table_size_bytes,json_payload_size_bytes,data_value_class,current_mode,recommended_mode,can_compact,estimated_savings_bytes,critical_for_verified,critical_for_opportunity_score,archive_only_ok,last_updated
schema_meta,1,4096,0,disposable_or_rebuildable,full,full,False,0,False,False,False,1776863490.7173436
runs,0,4096,0,disposable_or_rebuildable,full,full,False,0,False,False,False,
raw_events,97467,402350080,331013806,archive_debug,index_only,index_only,True,331013806,False,False,True,1776847374.90804
parsed_events,48752,1641824256,1590834225,archive_debug,index_only,index_only,True,1590834225,False,False,True,1776847449.7794368
signals,1633,146010112,137153062,core_learning,full,full,False,0,True,True,False,1776847462.0784888
signal_features,6440,454656,0,core_learning,full,full,False,0,True,True,False,1776835315.1598191
market_context_snapshots,1633,245760,0,core_learning,full,full,False,0,True,True,False,1776847462.083105
market_context_attempts,2283,376832,0,operational_diagnostics,slim,slim,False,0,False,False,False,1776835290.0
outcomes,3009,692224,0,core_outcome,full,full,False,0,True,True,False,1776847564.2799816
asset_cases,5391,7274496,4191654,core_state,full,full,False,0,True,True,False,1776835286.0
asset_market_states,420,60911616,57761256,core_state,full,full,False,0,False,False,False,1776835286.0
no_trade_locks,342,65536,6369,core_state,full,full,False,0,False,False,False,1776855173.738302
trade_opportunities,491,5210112,4261621,core_learning,full,full,False,0,True,True,False,1776862166.409016
opportunity_outcomes,1473,266240,0,core_outcome,full,full,False,0,True,True,False,1776862166.4128625
quality_stats,1042,4546560,3824830,core_learning,full,full,False,0,True,True,False,1776862166.0
telegram_deliveries,107031,1526853632,1493910238,operational_diagnostics,slim,slim,True,1493910238,False,False,False,1776847561.726833
prealert_lifecycle,1829,146366464,137612156,core_state,full,full,False,0,True,False,False,1776847462.091234
delivery_audit,156459,1417027584,1321735593,operational_diagnostics,slim,slim,True,1321735593,False,False,False,1776847561.7251716
case_followups,151,135168,89597,operational_diagnostics,slim,slim,True,89597,False,False,False,1776847561.7586288
